ObjectId,pasport,sl_,elektricka,trolejbus,autobus,mestska_cast,zastavka_nazov,zastavka_smer,x,y
132,46,2,False,False,True,Košice - Sever,Horný Bankov,konečná,21.2105693817138,48.7445106506347
133,47,1,False,False,True,Košice - Juh,Ryba,smer Malá stanica,21.2637901306152,48.7048187255859
134,47,2,False,False,True,Košice - Juh,Ryba,smer VSS križovatka,21.2620391845703,48.7040100097656
135,47,3,False,False,True,Košice - Juh,Ryba,smer Železníky,21.2620506286621,48.7039718627929
136,47,4,False,False,True,Košice - Juh,Ryba,smer Nám. osloboditeľov (výluková),21.2637901306152,48.7041893005371
137,47,5,True,False,False,Košice - Juh,Ryba,smer Holubyho,21.2623691558837,48.7038688659667
138,47,6,True,False,False,Košice - Juh,Ryba,smer Stará nemocnica,21.2619800567626,48.7050704956054
139,48,1,False,False,True,Košice - Západ,Hronská,smer Sokolovská,21.2263393402099,48.7187805175781
140,48,2,False,False,True,Košice - Západ,Hronská,smer Hodonínska,21.2261505126953,48.717918395996
141,49,1,False,True,True,Košice - Sídlisko KVP,Húskova,smer Sídl. KVP - kláštor,21.2096004486083,48.7195396423339
142,49,2,False,True,True,Košice - Sídlisko KVP,Húskova,smer Sídl. KVP - MiÚ,21.2107601165771,48.7193183898925
143,50,1,False,False,True,Košice - Nad jazerom,Napájadlá,smer Dneperská,21.2851905822753,48.682559967041
144,50,2,False,False,True,Košice - Nad jazerom,Napájadlá,smer Mlyn,21.2849807739257,48.6825981140136
145,51,1,False,False,True,Košice - Sever,Chrastie,smer Ž. zast. Ťahanovce,21.2476692199707,48.7543792724609
146,51,2,False,False,True,Košice - Sever,Chrastie,smer Anička,21.2474708557128,48.7544784545898
147,52,3,False,True,True,Košice - Sídlisko KVP,Moskovská,"smer Grunt,Klimkovičova",21.2117099761962,48.7116203308105
148,52,4,False,True,True,Košice - Sídlisko KVP,Moskovská,"smer Cottbuská,Poliklinika KVP",21.2129745483398,48.7114944458007
149,52,5,False,True,True,Košice - Sídlisko KVP,Moskovská,konečná,21.2118492126464,48.7116203308105
150,53,1,False,False,True,Košice - Sever,"Jahodná, chata",smer Jahodná - kopec,21.1338806152343,48.7685012817382
151,53,2,False,False,True,Košice - Sever,"Jahodná, chata",konečná,21.1340904235839,48.7683792114257
